mls_number,price,address,above_grade_bedrooms,below_grade_bedrooms,bathrooms,community_name,land_size,annual_prop_tax,postal_code,lat,long
C5921625,"$2,079,000","578 MANNING AVE
Toronto, Ontario M6G2V9","Above Grade
3",,"Total
3","Community Name
Palmerston-Little Italy","Land Size
18.02 x 118 FT","Annual Property Taxes
$5,491.50",M6G 2V9,43.6683,-79.4205
C5921559,"$1,850,000","122 HEDDINGTON AVE
Toronto, Ontario M5N2K8","Above Grade
3","Below Grade
1","Total
2","Community Name
Lawrence Park South","Land Size
25 x 110 FT","Annual Property Taxes
$7,216.68",M5N 2K8,43.7113,-79.4195
C5921537,"$1,588,000","447 LONGMORE ST
Toronto, Ontario M2N5C4","Above Grade
3","Below Grade
1","Total
3","Community Name
Willowdale East","Land Size
50 x 102.19 FT ; Quiet St/Bckng To Open-Green Space/Priva","Annual Property Taxes
$8,570.88",M2N 5C4,43.7673,-79.4111
C5921517,"$1,520,000","150 HARLANDALE AVE
Toronto, Ontario M2N1P4","Above Grade
3","Below Grade
1","Total
2","Community Name
Lansing-Westgate","Land Size
50 x 117.66 FT","Annual Property Taxes
$6,439.40",M2N 1P4,43.7673,-79.4111
C5921501,"$1,399,000","188 ACTON AVE
Toronto, Ontario M3H4H5","Above Grade
3",,"Total
2","Community Name
Bathurst Manor","Land Size
52.21 x 115 FT","Annual Property Taxes
$5,371.43",M3H 4H5,43.7535,-79.4472
40378406,"$1,520,000","150 HARLANDALE Avenue
Toronto, Ontario M2N1P4","Above Grade
3","Below Grade
1","Total
2",,"Land Size
under 1/2 acre",,M2N 1P4,43.7673,-79.4111
E5921311,"$1,193,800","82 IVY AVE
Toronto, Ontario M4L2H7","Above Grade
3",,"Total
3","Community Name
South Riverdale","Land Size
18.75 x 112 FT","Annual Property Taxes
$5,295.60",M4L 2H7,43.6693,-79.3155
C5921389,"$1,299,900","40 COBHAM CRES
Toronto, Ontario M4A1V6","Above Grade
4",,"Total
2","Community Name
Victoria Village","Land Size
45.73 x 121 FT ; 121.98 Ft X 68.09 Ft X 120.14 Ft X 39.01","Annual Property Taxes
$5,093.38",M4A 1V6,43.7276,-79.3148
C5921349,"$7,888,000","21 WIMPOLE DR
Toronto, Ontario M2L2L1","Above Grade
4","Below Grade
2","Total
8","Community Name
St. Andrew-Windfields","Land Size
150 x 111 FT","Annual Property Taxes
$32,020.04",M2L 2L1,43.7547,-79.3764
E5921295,"$1,599,900","153 WILLOW AVE
Toronto, Ontario M4E3K4","Above Grade
3","Below Grade
1","Total
2","Community Name
The Beaches","Land Size
25 x 118.5 FT","Annual Property Taxes
$5,851.70",M4E 3K4,43.6784,-79.2941
C5921299,"$1,198,000","40 MONARCHWOOD CRES
Toronto, Ontario M3A1H4","Above Grade
4","Below Grade
1","Total
3","Community Name
Parkwoods-Donalda","Land Size
53 x 113.77 FT","Annual Property Taxes
$4,853.25",M3A 1H4,43.7545,-79.33
C5921099,"$2,595,000","22 LAKEVIEW AVE
Toronto, Ontario M6J3B1","Above Grade
3","Below Grade
1","Total
2","Community Name
Trinity-Bellwoods","Land Size
20.17 x 130 FT","Annual Property Taxes
$6,572.10",M6J 3B1,43.648,-79.4177
E5921063,"$1,199,900","17 SOUTH EDGELY AVE
Toronto, Ontario M1N3K9","Above Grade
3","Below Grade
1","Total
2","Community Name
Birchcliffe-Cliffside","Land Size
48.2 x 124 FT","Annual Property Taxes
$3,728.41",M1N 3K9,43.6952,-79.2646
E5921011,"$1,500,000","176 BEECHGROVE DR
Toronto, Ontario M1E3Z5","Above Grade
4","Below Grade
2","Total
8","Community Name
West Hill","Land Size
50.06 x 205 FT","Annual Property Taxes
$3,685",M1E 3Z5,43.7678,-79.1866
W5920985,"$988,888","33 MOSQUE CRES
Toronto, Ontario M9V4J1","Above Grade
3","Below Grade
1","Total
4","Community Name
West Humber-Clairville","Land Size
40 x 90 FT","Annual Property Taxes
$2,565.65",M9V 4J1,43.7432,-79.5876
C5920955,"$4,500,000","114 DONWOODS DR
Toronto, Ontario M4N2G8","Above Grade
2",,"Total
2","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
186.62 x 157.06 FT ; 70.53 Ft X 138.87 Ft X 203.03 Ft X 86.76","Annual Property Taxes
$17,163.30",M4N 2G8,43.7301,-79.3935
C5920923,"$1,649,900","70 MANN AVE
Toronto, Ontario M4S2Y3","Above Grade
3",,"Total
2","Community Name
Mount Pleasant East","Land Size
25.33 x 137.41 FT","Annual Property Taxes
$7,216.67",M4S 2Y3,43.702,-79.3853
C5920913,"$1,399,999","32 VONDA AVE
Toronto, Ontario M2N5E9","Above Grade
4",,"Total
3","Community Name
Willowdale East","Land Size
30 x 107.54 FT ; Pie Shape","Annual Property Taxes
$6,155.03",M2N 5E9,43.7673,-79.4111
W5920889,"$849,900","35 WILLIE CRT
Toronto, Ontario M9V4V7","Above Grade
3",,"Total
2","Community Name
Mount Olive-Silverstone-Jamestown","Land Size
25.63 x 100.6 FT ; North 93.04 South 108.38 East 40.89","Annual Property Taxes
$2,723.63",M9V 4V7,43.7432,-79.5876
W5920719,"$2,699,000","4 EVANS AVE
Toronto, Ontario M6S3V6","Above Grade
4","Below Grade
1","Total
4","Community Name
Runnymede-Bloor West Village","Land Size
25 x 109 FT","Annual Property Taxes
$8,126.66",M6S 3V6,43.6512,-79.4828
C5920803,"$2,599,900","599 SPADINA RD
Toronto, Ontario M5P2X1","Above Grade
4",,"Total
5","Community Name
Forest Hill South","Land Size
50 x 68.08 FT","Annual Property Taxes
$8,727",M5P 2X1,43.6966,-79.412
W5920673,"$1,100,000","139 NORTH CARSON ST
Toronto, Ontario M8W4C7","Above Grade
3","Below Grade
1","Total
2","Community Name
Alderwood","Land Size
43.33 x 125 FT","Annual Property Taxes
$3,917.98",M8W 4C7,43.6021,-79.5402
C5920659,"$1,650,000","103 GLENTWORTH RD
Toronto, Ontario M2J2E7","Above Grade
4","Below Grade
3","Total
3","Community Name
Don Valley Village","Land Size
52.18 x 115 FT","Annual Property Taxes
$5,744.27",M2J 2E7,43.7801,-79.3479
E5920407,"$1,599,800","114 SLAN AVE
Toronto, Ontario M1G3B8","Above Grade
5","Below Grade
2","Total
4","Community Name
Morningside","Land Size
65 x 110 FT","Annual Property Taxes
$3,595.70",M1G 3B8,43.7712,-79.2144
W5920233,"$999,900","2441 KEELE ST
Toronto, Ontario M6L2N6","Above Grade
5","Below Grade
3","Total
4","Community Name
Maple Leaf","Land Size
33.37 x 220.24 FT","Annual Property Taxes
$2,108.72",M6L 2N6,43.7137,-79.4869
W5920109,"$899,999","121 DRIFTWOOD AVE W
Toronto, Ontario M3N2M9","Above Grade
6",,"Total
2","Community Name
Glenfield-Jane Heights","Land Size
36 x 113 FT","Annual Property Taxes
$2,616.22",M3N 2M9,43.7568,-79.521
W5919929,"$3,999,888","20 GRAYWOOD DR
Toronto, Ontario M9A1P6","Above Grade
4","Below Grade
1","Total
5","Community Name
Princess-Rosethorn","Land Size
62.5 x 120 FT","Annual Property Taxes
$0",M9A 1P6,43.6662,-79.5282
C5919969,"$4,780,000","516 MARKHAM ST
Toronto, Ontario M6G2L5","Above Grade
4",,"Total
5","Community Name
Palmerston-Little Italy","Land Size
33.08 x 125 FT ; + Mutual R.O.W.","Annual Property Taxes
$13,740",M6G 2L5,43.6683,-79.4205
E5919801,"$849,000","58 HUNTINGTON AVE
Toronto, Ontario M1K4L1","Above Grade
2","Below Grade
2","Total
3","Community Name
Kennedy Park","Land Size
30 x 137.5 FT","Annual Property Taxes
$2,508.78",M1K 4L1,43.7298,-79.2639
E5919843,"$775,000","114 DAWES RD
Toronto, Ontario M4C5B6","Above Grade
3","Below Grade
1","Total
2","Community Name
Crescent Town","Land Size
16.63 x 94.66 FT","Annual Property Taxes
$2,998.96",M4C 5B6,43.6913,-79.3116
C5919851,"$1,840,000","819 WILLOWDALE AVE N
Toronto, Ontario M2N5B7","Above Grade
4","Below Grade
3","Total
4","Community Name
Willowdale East","Land Size
50 x 136.36 FT","Annual Property Taxes
$8,500",M2N 5B7,43.7673,-79.4111
W5919577,"$3,165,000","16 LEMONWOOD DR
Toronto, Ontario M9A4L4","Above Grade
4","Below Grade
3","Total
5","Community Name
Edenbridge-Humber Valley","Land Size
60.01 x 122.5 FT","Annual Property Taxes
$0",M9A 4L4,43.6662,-79.5282
W5919535,"$1,749,000","31 TURNBERRY AVE
Toronto, Ontario M6N1P7","Above Grade
3","Below Grade
1","Total
4","Community Name
Weston-Pellam Park","Land Size
25 x 110 FT","Annual Property Taxes
$2,938.49",M6N 1P7,43.6748,-79.4839
40376575,"$899,999","121 DRIFTWOOD Avenue
Toronto, Ontario M3N2M9","Above Grade
3","Below Grade
3","Total
2",,"Land Size
under 1/2 acre",,M3N 2M9,43.7568,-79.521
C5919427,"$2,890,000","273 FINCH AVE E
Toronto, Ontario M2N4S3","Above Grade
4","Below Grade
2","Total
2","Community Name
Willowdale East","Land Size
60.01 x 135.58 FT","Annual Property Taxes
$8,623.75",M2N 4S3,43.7673,-79.4111
E5919351,"$969,000","29 SAMYA CRT
Toronto, Ontario M1R2A4","Above Grade
3",,"Total
1","Community Name
Wexford-Maryvale","Land Size
52.33 x 98.58 FT ; 98.58 X 52.29 X 94.01 X 52.07","Annual Property Taxes
$3,854",M1R 2A4,43.7507,-79.3003
W5919273,"$1,370,000","68 PAULART DR
Toronto, Ontario M9B3V9","Above Grade
3","Below Grade
1","Total
2","Community Name
Islington-City Centre West","Land Size
40 x 129.27 FT","Annual Property Taxes
$4,682.64",M9B 3V9,43.6505,-79.5517
W5919159,"$2,749,995","77 ST GEORGES BLVD
Toronto, Ontario M9R1X5","Above Grade
4","Below Grade
1","Total
5","Community Name
Kingsview Village-The Westway","Land Size
64 x 177.5 FT","Annual Property Taxes
$8,872.34",M9R 1X5,43.6898,-79.5582
E5919175,"$2,998,800","55 DENVALE RD
Toronto, Ontario M4B3B3","Above Grade
4","Below Grade
1","Total
6","Community Name
O'Connor-Parkview","Land Size
34 x 164.33 FT","Annual Property Taxes
$0",M4B 3B3,43.7063,-79.3094
W5918683,"$1,369,999","72 VANEVERY ST
Toronto, Ontario M8V1Y6","Above Grade
3",,"Total
2","Community Name
Mimico","Land Size
40 x 148 FT","Annual Property Taxes
$4,271.87",M8V 1Y6,43.6075,-79.5013
W5918697,"$1,500,000","243 WINDERMERE AVE
Toronto, Ontario M6S3K4","Above Grade
3",,"Total
1","Community Name
High Park-Swansea","Land Size
22.71 x 111.42 FT ; St & Tw Row","Annual Property Taxes
$5,257.68",M6S 3K4,43.6512,-79.4828
W5918581,"$2,299,999","100 LAKE CRES N
Toronto, Ontario M8V1W1","Above Grade
4",,"Total
4","Community Name
Mimico","Land Size
25 x 125 FT","Annual Property Taxes
$0",M8V 1W1,43.6075,-79.5013
E5918965,"$799,000","295 BURROWS HALL BLVD
Toronto, Ontario M1B1J8","Above Grade
3","Below Grade
1","Total
2","Community Name
Malvern","Land Size
32.5 x 110 FT","Annual Property Taxes
$2,364",M1B 1J8,43.8113,-79.193
C5918833,"$2,499,000","78 CENTRE AVE
Toronto, Ontario M2M2L6","Above Grade
4","Below Grade
1","Total
5","Community Name
Newtonbrook East","Land Size
39.32 x 114.76 FT ; 39.32Ft X 114.76Ft X 41.16Ft X 130.11Ft","Annual Property Taxes
$11,520.10",M2M 2L6,43.7915,-79.4103
C5918783,"$2,890,000","56 CODSELL AVE
Toronto, Ontario M3H3V9","Above Grade
4",,"Total
5","Community Name
Bathurst Manor","Land Size
50 x 151 FT","Annual Property Taxes
$11,456.94",M3H 3V9,43.7535,-79.4472
40378267,"$3,769,000","140 HARRISON Street
Toronto, Ontario M6J2A4","Above Grade
3","Below Grade
1","Total
5",,"Land Size
under 1/2 acre",,M6J 2A4,43.648,-79.4177
W5918355,"$1,399,000","29 HIGHVIEW AVE
Toronto, Ontario M3M1C5","Above Grade
4",,"Total
5","Community Name
Downsview-Roding-CFB","Land Size
37.5 x 110 FT","Annual Property Taxes
$5,087.06",M3M 1C5,43.7319,-79.4928
W5918111,"$1,055,000","39 HARDWICK CRT
Toronto, Ontario M9C4G5","Above Grade
3",,"Total
1","Community Name
Eringate-Centennial-West Deane","Land Size
50 x 123 FT","Annual Property Taxes
$3,583.06",M9C 4G5,43.6437,-79.5767
W5917797,"$1,775,888","6 ARKLEY CRES
Toronto, Ontario M9R3S3","Above Grade
4","Below Grade
2","Total
5","Community Name
Willowridge-Martingrove-Richview","Land Size
43.01 x 113.5 FT","Annual Property Taxes
$4,230",M9R 3S3,43.6898,-79.5582
E5918089,"$888,888","28 STILLBROOK CRT
Toronto, Ontario M1E3W7","Above Grade
3",,"Total
2","Community Name
West Hill","Land Size
40 x 124 FT ; Irregular","Annual Property Taxes
$3,286.05",M1E 3W7,43.7678,-79.1866
C5918053,"$2,649,000","47 SOUDAN AVE
Toronto, Ontario M4S1V5","Above Grade
3","Below Grade
1","Total
3","Community Name
Mount Pleasant West","Land Size
25 x 150 FT","Annual Property Taxes
$6,018.48",M4S 1V5,43.702,-79.3853
C5917887,"$1,495,000","20 MINHO BLVD
Toronto, Ontario M6G4B5","Above Grade
3","Below Grade
1","Total
3","Community Name
Wychwood","Land Size
23.99 x 76.82 FT","Annual Property Taxes
$5,990.72",M6G 4B5,43.6683,-79.4205
40377252,"$1,495,000","20 MINHO Boulevard
Toronto, Ontario M6G4B5","Above Grade
3","Below Grade
1","Total
3",,"Land Size
under 1/2 acre",,M6G 4B5,43.6683,-79.4205
W5917455,"$1,449,000","41 SEALCOVE DR
Toronto, Ontario M9C2C7","Above Grade
3","Below Grade
2","Total
2","Community Name
Etobicoke West Mall","Land Size
47.5 x 110 FT","Annual Property Taxes
$3,849.38",M9C 2C7,43.6437,-79.5767
E5917665,"$1,599,000","56 DALMATIAN CRES
Toronto, Ontario M1C4W3","Above Grade
5",,"Total
6","Community Name
Highland Creek","Land Size
49.21 x 100.07 FT","Annual Property Taxes
$5,829.06",M1C 4W3,43.7878,-79.1564
E5917547,"$1,539,000","11 SQUIRES AVE
Toronto, Ontario M4B2R2","Above Grade
4","Below Grade
1","Total
2","Community Name
O'Connor-Parkview","Land Size
50.42 x 125.06 FT","Annual Property Taxes
$4,568.88",M4B 2R2,43.7063,-79.3094
C5917443,"$4,250,000","142 BUCKINGHAM AVE
Toronto, Ontario M4N1R6","Above Grade
5","Below Grade
1","Total
4","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
50 x 150 FT","Annual Property Taxes
$18,363.70",M4N 1R6,43.7301,-79.3935
E5917223,"$1,199,000","26 VALIFOR PL
Toronto, Ontario M4J4Z7","Above Grade
3",,"Total
2","Community Name
Greenwood-Coxwell","Land Size
15 x 80 FT","Annual Property Taxes
$4,158.12",M4J 4Z7,43.6872,-79.3368
E5917245,"$1,400,000","#RD -23 DENVALE RD
Toronto, Ontario M4B3B3","Above Grade
2",,"Total
2","Community Name
O'Connor-Parkview","Land Size
34 x 110 FT","Annual Property Taxes
$4,050.69",M4B 3B3,43.7063,-79.3094
C5917243,"$1,888,000","148 BETTY ANN DR
Toronto, Ontario M2N1X4","Above Grade
5",,"Total
2","Community Name
Willowdale West","Land Size
50.83 x 132 FT","Annual Property Taxes
$7,102.92",M2N 1X4,43.7673,-79.4111
40368673,"$2,599,999","91 PARKMOUNT Road
Toronto, Ontario M4J4V3","Above Grade
4","Below Grade
1","Total
2",,"Land Size
0.07 ac|under 1/2 acre",,M4J 4V3,43.6872,-79.3368
W5917099,"$1,999,999","9 TWENTY FOURTH ST W
Toronto, Ontario M8V3N3","Above Grade
3","Below Grade
1","Total
4","Community Name
Long Branch","Land Size
25 x 130 FT","Annual Property Taxes
$3,286.05",M8V 3N3,43.6075,-79.5013
E5917137,"$988,000","118 COPPERWOOD SQ
Toronto, Ontario M1V2C1","Above Grade
4","Below Grade
1","Total
3","Community Name
Milliken","Land Size
29.13 x 106.37 FT ; Irregular Lot As Per Survey","Annual Property Taxes
$3,671.53",M1V 2C1,43.8177,-79.2819
E5917023,"$2,499,000","70 FALAISE RD
Toronto, Ontario M1B3B8","Above Grade
4","Below Grade
2","Total
9","Community Name
West Hill","Land Size
63.54 x 118.05 FT","Annual Property Taxes
$8,246.73",M1B 3B8,43.8113,-79.193
E5916809,"$999,000","1923 KINGSTON RD
Toronto, Ontario M1N1T4","Above Grade
2","Below Grade
1","Total
2","Community Name
Birchcliffe-Cliffside","Land Size
62 x 138 FT","Annual Property Taxes
$3,330.28",M1N 1T4,43.6952,-79.2646
E5916777,"$1,100,000","82 CANLISH RD
Toronto, Ontario M1P1S9","Above Grade
3",,"Total
2","Community Name
Dorset Park","Land Size
40.05 x 125.4 FT","Annual Property Taxes
$3,608.34",M1P 1S9,43.7612,-79.2707
W5916587,"$2,795,000","65 BARTLETT AVE
Toronto, Ontario M6H3E8","Above Grade
5",,"Total
6","Community Name
Dovercourt-Wallace Emerson-Junction","Land Size
19.5 x 130 FT","Annual Property Taxes
$5,162.89",M6H 3E8,43.6655,-79.4378
W5916561,"$1,850,000","94 LAKE CRES
Toronto, Ontario M8V1W1","Above Grade
4",,"Total
4","Community Name
Mimico","Land Size
25 x 125 FT","Annual Property Taxes
$3,213.93",M8V 1W1,43.6075,-79.5013
E5916621,"$1,088,888","157 BOULTBEE AVE
Toronto, Ontario M4J1B2","Above Grade
1",,"Total
2","Community Name
Blake-Jones","Land Size
20.01 x 102 FT","Annual Property Taxes
$2,878.59",M4J 1B2,43.6872,-79.3368
E5916229,$1,"2775 VICTORIA PARK AVE
Toronto, Ontario M1W1A1","Above Grade
3",,"Total
2","Community Name
L'Amoreaux","Land Size
66.01 x 146.81 FT","Annual Property Taxes
$5,570.43",M1W 1A1,43.8016,-79.3216
C5916529,"$6,995,000","62 ARJAY CRES
Toronto, Ontario M2L1C7","Above Grade
4","Below Grade
1","Total
6","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
61.41 x 222.1 FT ; Irregular","Annual Property Taxes
$28,746.64",M2L 1C7,43.7547,-79.3764
C5916349,"$1,450,000","7 IRVINGTON CRES
Toronto, Ontario M2N2Y8","Above Grade
3",,"Total
2","Community Name
Willowdale East","Land Size
52.58 x 145 FT ; As Per Geowarehouse","Annual Property Taxes
$6,407.80",M2N 2Y8,43.7673,-79.4111
C5916283,"$2,499,000","465 MANNING AVE
Toronto, Ontario M6G2V6","Above Grade
4",,"Total
5","Community Name
Palmerston-Little Italy","Land Size
20.31 x 90 FT ; Full Interlocking Rear Patio","Annual Property Taxes
$5,611.56",M6G 2V6,43.6683,-79.4205
W5916187,"$2,888,888","53 GREAT OAK DR
Toronto, Ontario M9A1N3","Above Grade
3","Below Grade
1","Total
4","Community Name
Princess-Rosethorn","Land Size
70 x 128.95 FT","Annual Property Taxes
$10,085.60",M9A 1N3,43.6662,-79.5282
W5916035,"$1,538,000","882 ROYAL YORK RD
Toronto, Ontario M8Y2V6","Above Grade
2","Below Grade
1","Total
2","Community Name
Stonegate-Queensway","Land Size
35 x 120 Acre","Annual Property Taxes
$5,617.88",M8Y 2V6,43.6325,-79.4939
W5915811,"$999,000","1320 DUPONT ST
Toronto, Ontario M6H2A7","Above Grade
3","Below Grade
1","Total
3","Community Name
Dovercourt-Wallace Emerson-Junction","Land Size
15.83 x 80 FT","Annual Property Taxes
$4,031.73",M6H 2A7,43.6655,-79.4378
E5916179,"$997,500","79 KNOX AVE
Toronto, Ontario M4L2N8","Above Grade
2",,"Total
1","Community Name
Greenwood-Coxwell","Land Size
25.89 x 56 FT","Annual Property Taxes
$3,147.03",M4L 2N8,43.6693,-79.3155
E5916041,"$899,000","105 MARJORY AVE
Toronto, Ontario M4M2Y5","Above Grade
3","Below Grade
1","Total
2","Community Name
South Riverdale","Land Size
19.5 x 100 FT","Annual Property Taxes
$4,897.48",M4M 2Y5,43.6561,-79.3406
C5916203,"$8,650,000","94 CORTLEIGH BLVD
Toronto, Ontario M4R1K6","Above Grade
9",,"Total
6","Community Name
Lawrence Park South","Land Size
77.5 x 517 FT ; Pies To 178.97 On 1.8Acres As Per Survey|1/2 - 1.99 acres","Annual Property Taxes
$30,048.41",M4R 1K6,43.7143,-79.4065
C5915893,"$3,288,000","8 TROON CRT
Toronto, Ontario M2P1N5","Above Grade
4","Below Grade
1","Total
3","Community Name
St. Andrew-Windfields","Land Size
68.6 x 162.77 FT ; As Per Survey, 100 Feet Wide At Rear","Annual Property Taxes
$7,307.63",M2P 1N5,43.75,-79.3978
C5915837,"$6,495,000","24 HEATHDALE RD
Toronto, Ontario M6C1M6","Above Grade
4",,"Total
5","Community Name
Humewood-Cedarvale","Land Size
50 x 161.14 FT","Annual Property Taxes
$20,638.90",M6C 1M6,43.6915,-79.4307
40374134,"$1,538,000","882 ROYAL YORK Road
Toronto, Ontario M8Y2V6","Above Grade
2",,"Total
2",,"Land Size
under 1/2 acre",,M8Y 2V6,43.6325,-79.4939
W5915397,"$1,369,000","88 STEPHEN DR
Toronto, Ontario M8Y3N3","Above Grade
3","Below Grade
1","Total
2","Community Name
Stonegate-Queensway","Land Size
42 x 126 FT","Annual Property Taxes
$4,777.41",M8Y 3N3,43.6325,-79.4939
W5915327,"$3,288,888","82 LAUREL AVE
Toronto, Ontario M9B4T2","Above Grade
4","Below Grade
2","Total
6","Community Name
Islington-City Centre West","Land Size
47 x 173 FT","Annual Property Taxes
$8,041.15",M9B 4T2,43.6505,-79.5517
W5915327,"$3,288,888","82 LAUREL AVE
Toronto, Ontario M9B4T2","Above Grade
4","Below Grade
2","Total
6","Community Name
Islington-City Centre West","Land Size
47 x 173 FT","Annual Property Taxes
$8,041.15",M9B 4T2,43.6505,-79.5517
E5915767,"$2,599,900","46 ATLEE AVE
Toronto, Ontario M1N3X1","Above Grade
4","Below Grade
2","Total
5","Community Name
Birchcliffe-Cliffside","Land Size
39 x 125 FT","Annual Property Taxes
$0",M1N 3X1,43.6952,-79.2646
C5915727,"$2,141,000","141 MELROSE AVE
Toronto, Ontario M5M1Y8","Above Grade
3",,"Total
3","Community Name
Lawrence Park North","Land Size
25 x 150 FT","Annual Property Taxes
$8,790",M5M 1Y8,43.7335,-79.4177
C5915711,"$8,995,000","253 DUNVEGAN RD
Toronto, Ontario M5P2P5","Above Grade
6","Below Grade
1","Total
9","Community Name
Forest Hill South","Land Size
70 x 172.08 FT","Annual Property Taxes
$27,034.09",M5P 2P5,43.6966,-79.412
C5915599,"$8,995,000","20 SANDRINGHAM DR
Toronto, Ontario M5M3G3","Above Grade
5",,"Total
7","Community Name
Bedford Park-Nortown","Land Size
84 x 280 FT ; 84' X 100' X 280'. See Attached Survey","Annual Property Taxes
$29,871.47",M5M 3G3,43.7335,-79.4177
C5915509,"$1,675,000","412 ST CLARENS AVE
Toronto, Ontario M6H3W5","Above Grade
5","Below Grade
1","Total
3","Community Name
Dufferin Grove","Land Size
19 x 110 FT","Annual Property Taxes
$5,497.81",M6H 3W5,43.6655,-79.4378
C5915445,"$999,900","8 AMHERST AVE
Toronto, Ontario M6E1Z3","Above Grade
3",,"Total
2","Community Name
Oakwood Village","Land Size
19 x 122.49 FT","Annual Property Taxes
$3,458",M6E 1Z3,43.6889,-79.4507
C5915409,"$1,599,900","12 PANNAHILL RD
Toronto, Ontario M3H4N3","Above Grade
3","Below Grade
1","Total
4","Community Name
Bathurst Manor","Land Size
50 x 125 FT","Annual Property Taxes
$5,516.77",M3H 4N3,43.7535,-79.4472
C5915253,"$8,750,000","33 BLYTH HILL RD
Toronto, Ontario M4N3L6","Above Grade
4","Below Grade
1","Total
5","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
50 x 150 FT","Annual Property Taxes
$25,466.90",M4N 3L6,43.7301,-79.3935
W5915227,"$2,388,000","10 SAPLING CRT
Toronto, Ontario M9C1K9","Above Grade
4",,"Total
4","Community Name
Markland Wood","Land Size
38.85 x 134.75 FT ; Irregualer Lot 129 Ft Wide At Rear","Annual Property Taxes
$6,414.12",M9C 1K9,43.6437,-79.5767
W5915223,"$4,899,000","18 SAINT GEORGE'S RD
Toronto, Ontario M9A3T1","Above Grade
4","Below Grade
1","Total
7","Community Name
Edenbridge-Humber Valley","Land Size
60 x 142 FT ; Rear 65 Ft & West 118 Ft (Pie Lot)","Annual Property Taxes
$14,957.85",M9A 3T1,43.6662,-79.5282
W5915121,"$799,900","53 LASKAY CRES
Toronto, Ontario M3N1P2","Above Grade
4",,"Total
2","Community Name
Black Creek","Land Size
27.09 x 118.08 FT","Annual Property Taxes
$2,717.31",M3N 1P2,43.7568,-79.521
W5915049,"$999,000","123 PRISCILLA AVE
Toronto, Ontario M6S3W4","Above Grade
2","Below Grade
1","Total
2","Community Name
Runnymede-Bloor West Village","Land Size
25 x 100 FT","Annual Property Taxes
$4,410.89",M6S 3W4,43.6512,-79.4828
W5915001,"$1,398,000","9 BOREAL RD
Toronto, Ontario M9C2E9","Above Grade
3","Below Grade
2","Total
3","Community Name
Etobicoke West Mall","Land Size
55 x 100 FT","Annual Property Taxes
$4,196.04",M9C 2E9,43.6437,-79.5767
W5914979,"$1,499,900","9 JENNIFER CRT
Toronto, Ontario M3M2T6","Above Grade
3","Below Grade
2","Total
4","Community Name
Downsview-Roding-CFB","Land Size
50 x 119 FT","Annual Property Taxes
$4,221.32",M3M 2T6,43.7319,-79.4928
W5914891,"$1,775,000","41 ST. PHILLIPS RD
Toronto, Ontario M9P2N7","Above Grade
4",,"Total
5","Community Name
Humber Heights","Land Size
41.06 x 128.29 FT ; Irregular","Annual Property Taxes
$6,401.48",M9P 2N7,43.6949,-79.5323
W5914895,"$999,000","200A LANSDOWNE AVE
Toronto, Ontario M6K2V9","Above Grade
2","Below Grade
1","Total
3","Community Name
Roncesvalles","Land Size
14 x 83 FT","Annual Property Taxes
$3,513.55",M6K 2V9,43.6383,-79.4301
W5914853,"$1,899,000","166 KANE AVE
Toronto, Ontario M6M3N5","Above Grade
3",,"Total
4","Community Name
Keelesdale-Eglinton West","Land Size
27.31 x 100 FT","Annual Property Taxes
$2,717.31",M6M 3N5,43.6934,-79.4857
E5915239,"$2,599,000","4 CONDOR AVE
Toronto, Ontario M4J3M6","Above Grade
4",,"Total
4","Community Name
Blake-Jones","Land Size
25 x 107 FT","Annual Property Taxes
$4,354.02",M4J 3M6,43.6872,-79.3368
E5914897,"$1,299,000","159 SPRINGDALE BLVD
Toronto, Ontario M4C1Z6","Above Grade
3",,"Total
2","Community Name
Danforth Village-East York","Land Size
17.58 x 104.47 FT","Annual Property Taxes
$4,082.59",M4C 1Z6,43.6913,-79.3116
E5914911,"$1,649,000","268 ASHDALE AVE
Toronto, Ontario M4L2Y9","Above Grade
4","Below Grade
1","Total
3","Community Name
Greenwood-Coxwell","Land Size
18.24 x 98.13 FT","Annual Property Taxes
$4,780",M4L 2Y9,43.6693,-79.3155
E5914803,"$699,000","25 LADY BOWER CRES
Toronto, Ontario M1B4R3","Above Grade
2","Below Grade
1","Total
2","Community Name
Malvern","Land Size
19.68 x 104.98 FT","Annual Property Taxes
$2,237.04",M1B 4R3,43.8113,-79.193
C5915123,"$4,680,000","1 BLAINE DR
Toronto, Ontario M3B2G3","Above Grade
5","Below Grade
1","Total
6","Community Name
Banbury-Don Mills","Land Size
68.2 x 142 FT ; Wider Along Back","Annual Property Taxes
$17,782.59",M3B 2G3,43.745,-79.359
C5915073,"$1,649,000","31 MARKHAM ST
Toronto, Ontario M6J2G3","Above Grade
3","Below Grade
1","Total
2","Community Name
Trinity-Bellwoods","Land Size
54 x 19 FT","Annual Property Taxes
$7,200.27",M6J 2G3,43.648,-79.4177
